MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS (L),TRANSMISSION,FUEL TYPE,FUEL CONS: CITY (L/100 km),FUEL CONS: HWY (L/100 km),FUEL CONS:COMB (L/100 km),FUEL CONS:COMB (mpg),CO2 RATING,SMOG RATING,CO2 EMISSIONS(g/km) 
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15,10.7,13.1,22,3,3,307
CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15,10.7,13.1,22,3,3,307
CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,E,21,15,18.3,15,3,3,309
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A8,X,15.6,11.6,13.8,20,3,3,324
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,6.2,8,A8,Z,16,11.7,14.1,20,3,3,331
CHEVROLET,SILVERADO eASSIST 4WD,PICKUP TRUCK - STANDARD,5.3,8,A8,X,14.4,11.2,13,22,3,3,304
CHEVROLET,SONIC,COMPACT,1.4,4,AS6,X,8.8,6.6,7.8,36,7,3,184
CHEVROLET,SONIC,COMPACT,1.4,4,M6,X,8.4,6.3,7.4,38,7,3,174
CHEVROLET,SONIC,COMPACT,1.8,4,AS6,X,9.3,7,8.3,34,6,5,193
CHEVROLET,SONIC,COMPACT,1.8,4,M5,X,9.2,6.8,8.1,35,6,5,190
CHEVROLET,SONIC 5,STATION WAGON - SMALL,1.4,4,AS6,X,8.8,6.6,7.8,36,7,3,184
CHEVROLET,SONIC 5,STATION WAGON - SMALL,1.4,4,M6,X,8.4,6.3,7.4,38,7,3,174
CHEVROLET,SONIC 5,STATION WAGON - SMALL,1.8,4,AS6,X,9.3,7,8.3,34,6,5,193
CHEVROLET,SONIC 5,STATION WAGON - SMALL,1.8,4,M5,X,9.2,6.8,8.1,35,6,5,190
CHEVROLET,SPARK,SUBCOMPACT,1.4,4,AV,X,7.8,6.2,7.1,40,8,5,167
CHEVROLET,SPARK,SUBCOMPACT,1.4,4,M5,X,8,6,7.1,40,8,5,166
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,X,15.1,10.4,13,22,3,3,305
CHEVROLET,SUBURBAN FFV,SUV - STANDARD,5.3,8,A6,X,15.1,10.4,13,22,3,3,305
CHEVROLET,SUBURBAN FFV,SUV - STANDARD,5.3,8,A6,E,19.8,13.9,17.2,16,3,3,285
CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A6,X,15.3,10.9,13.3,21,3,3,313
CHEVROLET,SUBURBAN 4WD FFV,SUV - STANDARD,5.3,8,A6,X,15.3,10.9,13.3,21,3,3,312
CHEVROLET,SUBURBAN 4WD FFV,SUV - STANDARD,5.3,8,A6,E,22.3,15.7,19.3,15,3,3,321
CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A6,X,15.1,10.4,13,22,3,3,305
CHEVROLET,TAHOE FFV,SUV - STANDARD,5.3,8,A6,X,15.1,10.4,13,22,3,3,305
CHEVROLET,TAHOE FFV,SUV - STANDARD,5.3,8,A6,E,19.8,13.9,17.2,16,3,3,285
CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,A6,X,15.2,10.8,13.2,21,3,3,310
CHEVROLET,TAHOE 4WD FFV,SUV - STANDARD,5.3,8,A6,X,15.2,10.8,13.2,21,3,3,310
CHEVROLET,TAHOE 4WD FFV,SUV - STANDARD,5.3,8,A6,E,20.8,14.5,18,16,3,3,299
CHEVROLET,TAHOE 4WD,SUV - STANDARD,6.2,8,A10,Z,16.4,10.7,13.8,20,3,3,325
CHEVROLET,TRAVERSE,SUV - STANDARD,2,4,A9,Z,11.7,9,10.5,27,4,5,246
CHEVROLET,TRAVERSE,SUV - STANDARD,3.6,6,AS9,X,12.9,8.7,11,26,4,5,258
CHEVROLET,TRAVERSE AWD,SUV - STANDARD,3.6,6,AS9,X,13.7,9.4,11.8,24,4,5,276
CHEVROLET,TRAX,SUV - SMALL,1.4,4,AS6,X,9.3,7.2,8.3,34,6,3,194
CHEVROLET,TRAX,SUV - SMALL,1.4,4,M6,X,9.2,7.1,8.2,34,6,3,194
CHEVROLET,TRAX 4WD,SUV - SMALL,1.4,4,AS6,X,9.9,7.8,8.9,32,5,3,210
CHRYSLER,300,FULL-SIZE,3.6,6,A8,X,12.4,7.8,10.3,27,5,3,242
CHRYSLER,300 FFV,FULL-SIZE,3.6,6,A8,X,12.4,7.8,10.3,27,5,3,242
CHRYSLER,300 FFV,FULL-SIZE,3.6,6,A8,E,17.1,10.6,14.2,20,5,3,234
CHRYSLER,300,FULL-SIZE,5.7,8,A8,X,14.7,9.4,12.3,23,3,3,289
CHRYSLER,300 AWD,FULL-SIZE,3.6,6,A8,X,12.8,8.7,11,26,4,3,258
CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6,A8,X,12.8,8.7,11,26,4,3,258
CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6,A8,E,17.6,12,15,19,4,3,248
CHRYSLER,PACIFICA,MINIVAN,3.6,6,A9,X,12.9,8.4,10.9,26,4,3,259
CHRYSLER,PACIFICA (Stop-Start),MINIVAN,3.6,6,A9,X,12.4,8.4,10.6,27,4,3,249
DODGE,CHALLENGER,MID-SIZE,3.6,6,A8,X,12.4,7.8,10.3,27,5,3,242
DODGE,CHALLENGER,MID-SIZE,5.7,8,M6,Z,15.6,10.1,13.1,22,3,1,307
DODGE,CHALLENGER,MID-SIZE,6.4,8,M6,Z,16.7,10.4,13.9,20,3,1,325
DODGE,CHALLENGER (MDS),MID-SIZE,5.7,8,A8,X,14.7,9.4,12.3,23,3,3,289
DODGE,CHALLENGER (MDS),MID-SIZE,6.4,8,A8,Z,15.6,9.6,12.9,22,3,1,302
DODGE,CHALLENGER GT AWD,MID-SIZE,3.6,6,A8,X,12.8,8.7,11,26,4,3,258
DODGE,CHALLENGER GT AWD FFV,MID-SIZE,3.6,6,A8,X,12.8,8.7,11,26,4,3,258
DODGE,CHALLENGER GT AWD FFV,MID-SIZE,3.6,6,A8,E,17.6,12,15,19,4,3,248
DODGE,CHALLENGER SRT,MID-SIZE,6.4,8,M6,Z,16.7,10.4,13.9,20,3,1,325
DODGE,CHALLENGER SRT (MDS),MID-SIZE,6.4,8,A8,Z,15.6,9.6,12.9,22,3,1,302
DODGE,CHALLENGER SRT DEMON,MID-SIZE,6.2,8,A8,Z,17.6,10.7,14.5,19,2,1,339
DODGE,CHALLENGER SRT HELLCAT,MID-SIZE,6.2,8,A8,Z,17.6,10.7,14.5,19,2,1,339
DODGE,CHALLENGER SRT HELLCAT,MID-SIZE,6.2,8,M6,Z,18.1,11.4,15.1,19,2,1,352
DODGE,CHARGER,FULL-SIZE,3.6,6,A5,X,13.7,9,11.6,24,4,3,271
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A5,X,13.7,9,11.6,24,4,3,271
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A5,E,18.9,12.7,16.1,18,4,3,268
DODGE,CHARGER,FULL-SIZE,3.6,6,A8,X,12.4,7.8,10.3,27,5,3,242
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A8,X,12.4,7.8,10.3,27,5,3,242
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A8,E,17.1,10.6,14.2,20,5,3,234
DODGE,CHARGER (MDS),FULL-SIZE,5.7,8,A5,X,15.6,9.7,12.9,22,3,3,302
DODGE,CHARGER (MDS),FULL-SIZE,5.7,8,A8,X,14.7,9.4,12.3,23,3,3,289
DODGE,CHARGER (MDS),FULL-SIZE,6.4,8,A8,Z,15.6,9.6,12.9,22,3,1,302
DODGE,CHARGER AWD,FULL-SIZE,3.6,6,A8,X,12.8,8.7,11,26,4,3,258
DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,6,A8,X,12.8,8.7,11,26,4,3,258
DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,6,A8,E,17.6,12,15,19,4,3,248
DODGE,CHARGER AWD (MDS),FULL-SIZE,5.7,8,A5,X,16,10.1,13.3,21,3,3,312
DODGE,CHARGER SRT (MDS),FULL-SIZE,6.4,8,A8,Z,15.6,9.6,12.9,22,3,1,302
DODGE,CHARGER SRT HELLCAT,FULL-SIZE,6.2,8,A8,Z,17.6,10.7,14.5,19,2,1,339
DODGE,DURANGO AWD,SUV - STANDARD,3.6,6,A8,X,12.7,9.6,11.3,25,4,5,265
DODGE,DURANGO AWD,SUV - STANDARD,5.7,8,A8,X,16.7,10.9,14.1,20,3,3,331
DODGE,DURANGO AWD SRT,SUV - STANDARD,6.4,8,A8,Z,18.3,12.2,15.6,18,2,1,363
DODGE,GRAND CARAVAN FFV,MINIVAN,3.6,6,A6,X,13.7,9.4,11.8,24,4,3,276
DODGE,GRAND CARAVAN FFV,MINIVAN,3.6,6,A6,E,19.4,13.3,16.7,17,4,3,274
DODGE,JOURNEY,SUV - SMALL,2.4,4,A4,X,12.7,9.2,11.1,25,4,3,261
DODGE,JOURNEY FFV,SUV - SMALL,3.6,6,A6,X,14.2,9.5,12.1,23,4,3,284
DODGE,JOURNEY FFV,SUV - SMALL,3.6,6,A6,E,19.1,13.2,16.4,17,4,3,274
DODGE,JOURNEY AWD,SUV - SMALL,3.6,6,A6,X,14.5,10,12.4,23,3,3,292
FIAT,124 SPIDER,TWO-SEATER,1.4,4,A6,X,9.3,6.5,8,35,6,3,187
FIAT,124 SPIDER,TWO-SEATER,1.4,4,M6,X,9,6.7,7.9,36,7,3,185
FIAT,500,MINICOMPACT,1.4,4,A6,X,9.7,7.4,8.7,32,6,3,202
FIAT,500,MINICOMPACT,1.4,4,M5,X,8.4,7,7.8,36,7,3,182
FIAT,500 ABARTH,MINICOMPACT,1.4,4,A6,X,9.7,7.4,8.7,32,6,3,202
FIAT,500 ABARTH,MINICOMPACT,1.4,4,M5,X,8.4,7,7.8,36,7,3,182
FIAT,500L,STATION WAGON - SMALL,1.4,4,A6,X,10.7,7.9,9.4,30,5,3,221
FIAT,500X,SUV - SMALL,1.4,4,M6,X,9.5,7.1,8.4,34,6,3,197
FIAT,500X,SUV - SMALL,2.4,4,A9,X,10.7,7.8,9.4,30,5,7,220
FIAT,500X AWD,SUV - SMALL,2.4,4,A9,X,11,8,9.7,29,5,7,226
FORD,C-MAX HYBRID,FULL-SIZE,2,4,AV,X,5.7,6.2,5.9,48,9,7,138
FORD,ECOSPORT,SUV - SMALL,1,3,AS6,X,8.6,8.1,8.4,34,6,3,195
FORD,ECOSPORT AWD,SUV - SMALL,2,4,AS6,X,10.2,8,9.3,30,5,5,217
FORD,EDGE,SUV - SMALL,2,4,AS6,X,11.5,8,9.9,29,5,5,233
FORD,EDGE (Start/Stop),SUV - SMALL,2,4,AS6,X,11.3,8,9.9,29,5,5,231
FORD,EDGE,SUV - SMALL,3.5,6,AS6,X,13.5,9.1,11.5,25,4,3,270
FORD,EDGE AWD,SUV - SMALL,2,4,AS6,X,11.9,8.7,10.5,27,5,5,246
FORD,EDGE AWD,SUV - SMALL,2.7,6,AS6,X,13.8,9.8,12,24,4,5,282
FORD,EDGE AWD,SUV - SMALL,3.5,6,AS6,X,14.2,10.2,12.4,23,3,3,291
FORD,ESCAPE,SUV - SMALL,1.5,4,AS6,X,10.2,7.8,9.1,31,5,3,214
FORD,ESCAPE FFV,SUV - SMALL,2.5,4,AS6,X,11.1,8.1,9.7,29,5,3,229
FORD,ESCAPE FFV,SUV - SMALL,2.5,4,AS6,E,15.2,10.9,13.3,21,5,3,219
FORD,ESCAPE AWD,SUV - SMALL,1.5,4,AS6,X,10.7,8.3,9.6,29,5,3,226
FORD,ESCAPE AWD,SUV - SMALL,2,4,AS6,X,11.5,8.8,10.3,27,5,5,241
FORD,EXPEDITION 4X4,SUV - STANDARD,3.5,6,AS10,X,13.8,10.7,12.4,23,3,5,291
FORD,EXPEDITION MAX 4X4,SUV - STANDARD,3.5,6,AS10,X,14.9,11.2,13.2,21,3,5,311
FORD,EXPLORER,SUV - STANDARD,2.3,4,AS6,X,12.6,8.6,10.8,26,4,3,254
FORD,EXPLORER FFV,SUV - STANDARD,3.5,6,AS6,X,13.9,9.8,12.1,23,4,3,283
FORD,EXPLORER FFV,SUV - STANDARD,3.5,6,AS6,E,18.7,13,16.2,17,4,3,269
FORD,EXPLORER AWD,SUV - STANDARD,2.3,4,AS6,X,13.1,9.2,11.4,25,4,3,267
FORD,EXPLORER AWD,SUV - STANDARD,3.5,6,AS6,X,14.8,10.7,13,22,3,3,305
FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6,AS6,X,14.5,10.6,12.7,22,3,3,299
FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6,AS6,E,19.7,14.3,17.3,16,3,3,288
FORD,F-150,PICKUP TRUCK - STANDARD,2.7,6,AS10,X,11.9,9,10.6,27,4,5,249
FORD,F-150 (LT Tire Pkg),PICKUP TRUCK - STANDARD,2.7,6,AS10,X,12,9.4,10.8,26,4,5,253
FORD,F-150 (Payload Pkg),PICKUP TRUCK - STANDARD,2.7,6,AS10,X,12.3,9.4,11,26,4,5,258
FORD,F-150,PICKUP TRUCK - STANDARD,3,6,AS10,D,10.8,8,9.5,30,4,1,256
FORD,F-150 (LT Tire Pkg),PICKUP TRUCK - STANDARD,3,6,AS10,D,10.8,8.4,9.7,29,4,1,260
FORD,F-150,PICKUP TRUCK - STANDARD,3.3,6,AS6,X,12.3,9.4,11,26,4,5,259
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,3.3,6,AS6,X,12.3,9.3,10.9,26,4,5,257
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,3.3,6,AS6,E,16.8,12.7,14.9,19,4,5,248
FORD,F-150 (LT Tire Pkg),PICKUP TRUCK - STANDARD,3.3,6,AS6,X,12.4,9.8,11.2,25,4,5,263
FORD,F-150 FFV (LT Tire Pkg),PICKUP TRUCK - STANDARD,3.3,6,AS6,X,12.4,9.8,11.2,25,4,5,263
FORD,F-150 FFV (LT Tire Pkg),PICKUP TRUCK - STANDARD,3.3,6,AS6,E,16.8,12.7,14.9,19,4,5,248
FORD,F-150,PICKUP TRUCK - STANDARD,3.5,6,AS10,X,13.6,10.1,12,24,4,5,282
FORD,F-150 (LT Tire Pkg),PICKUP TRUCK - STANDARD,3.5,6,AS10,X,13.6,10.7,12.3,23,3,5,288
FORD,F-150 (Payload Pkg),PICKUP TRUCK - STANDARD,3.5,6,AS10,X,13.7,11.2,12.5,23,3,5,293
FORD,F-150,PICKUP TRUCK - STANDARD,5,8,AS10,X,14.1,10.4,12.4,23,3,3,292
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5,8,AS10,X,13.9,10.2,12.2,23,3,3,286
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5,8,AS10,E,20.2,14,17.4,16,3,3,288
FORD,F-150 (LT Tire Pkg),PICKUP TRUCK - STANDARD,5,8,AS10,X,14.7,11.2,13.1,22,3,3,308
FORD,F-150 FFV (LT Tire Pkg),PICKUP TRUCK - STANDARD,5,8,AS10,X,14.7,11.2,13.1,22,3,3,307
FORD,F-150 FFV (LT Tire Pkg),PICKUP TRUCK - STANDARD,5,8,AS10,E,20.2,14,17.4,16,3,3,288
FORD,F-150 (Payload Pkg),PICKUP TRUCK - STANDARD,5,8,AS10,X,14.7,11.8,13.8,20,3,3,324
FORD,F-150 FFV (Payload Pkg),PICKUP TRUCK - STANDARD,5,8,AS10,X,14.7,11.8,13.8,20,3,3,323
FORD,F-150 FFV (Payload Pkg),PICKUP TRUCK - STANDARD,5,8,AS10,E,20.3,14,17.4,16,3,3,288
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,2.7,6,AS10,X,12.6,9.8,11.3,25,4,5,265
FORD,F-150 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,2.7,6,AS10,X,13.1,10.2,11.8,24,4,5,277
FORD,F-150 4X4 (Payload Pkg),PICKUP TRUCK - STANDARD,2.7,6,AS10,X,13.1,9.8,11.6,24,4,5,272
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,3,6,AS10,D,11.8,9.3,10.7,26,3,1,288
FORD,F-150 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,3,6,AS10,D,11.8,9.3,10.7,26,3,1,288
FORD,F-150 4X4 XL/XLT,PICKUP TRUCK - STANDARD,3,6,AS10,D,11.2,8.4,9.9,29,4,1,266
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,3.3,6,AS6,X,13,10.3,11.8,24,4,5,277
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.3,6,AS6,X,12.9,10.2,11.7,24,4,5,273
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.3,6,AS6,E,17.6,13.7,15.8,18,4,5,263
FORD,F-150 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,3.3,6,AS6,X,13.8,10.7,12.4,23,3,5,291
FORD,F-150 FFV 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,3.3,6,AS6,X,13.8,10.7,12.4,23,3,5,291
FORD,F-150 FFV 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,3.3,6,AS6,E,17.5,13.7,15.8,18,4,5,262
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,3.5,6,AS10,X,14.3,10.5,12.6,22,3,5,295
FORD,F-150 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,3.5,6,AS10,X,14.4,10.6,12.7,22,3,5,297
FORD,F-150 4X4 (Payload Pkg),PICKUP TRUCK - STANDARD,3.5,6,AS10,X,14.5,11.2,13,22,3,5,305
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,5,8,AS10,X,14.6,10.9,13,22,3,3,304
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5,8,AS10,X,15.1,11,13.3,21,3,3,311
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5,8,AS10,E,20,15.6,18,16,3,3,300
FORD,F-150 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,5,8,AS10,X,14.7,11.8,13.8,20,3,3,324
FORD,F-150 FFV 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,5,8,AS10,X,15.1,11.8,13.8,20,3,3,324
FORD,F-150 FFV 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,5,8,AS10,E,20,15.6,18,16,3,3,300
FORD,F-150 4X4 (Payload Pkg),PICKUP TRUCK - STANDARD,5,8,AS10,X,15.7,12.4,14.2,20,3,3,334
FORD,F-150 FFV 4X4 (Payload Pkg),PICKUP TRUCK - STANDARD,5,8,AS10,X,16.1,12.4,14.5,19,2,3,339
FORD,F-150 FFV 4X4 (Payload Pkg),PICKUP TRUCK - STANDARD,5,8,AS10,E,21.4,17.2,19.5,14,3,3,325
FORD,F-150 RAPTOR 4WD,PICKUP TRUCK - STANDARD,3.5,6,AS10,X,15.6,13.2,14.5,19,2,3,339
FORD,FIESTA,SUBCOMPACT,1.6,4,AM6,X,8.6,6.4,7.6,37,7,3,179
FORD,FIESTA,SUBCOMPACT,1.6,4,M5,X,8.6,6.7,7.8,36,7,3,182
FORD,FIESTA ST,SUBCOMPACT,1.6,4,M6,X,9,7.1,8.2,34,6,3,192
FORD,FLEX,SUV - STANDARD,3.5,6,AS6,X,14.7,10.2,12.7,22,3,3,298
FORD,FLEX AWD,SUV - STANDARD,3.5,6,AS6,X,14.7,10.7,12.9,22,3,3,303
FORD,FLEX AWD GTDI,SUV - STANDARD,3.5,6,AS6,X,15.7,11.2,13.7,21,3,3,322
FORD,FOCUS,COMPACT,1,3,AS6,X,8.5,6.2,7.5,38,7,3,176
FORD,FOCUS,COMPACT,1,3,M6,X,7.9,5.9,7,40,8,3,164
FORD,FOCUS,COMPACT,2,4,AM6,X,8.9,6.1,7.7,37,7,7,179
FORD,FOCUS,COMPACT,2,4,AS6,X,9.8,7,8.5,33,6,7,200
FORD,FOCUS,COMPACT,2,4,M5,X,9.5,6.9,8.3,34,6,7,196
FORD,FOCUS RS AWD,MID-SIZE,2.3,4,M6,Z,12.2,9,10.8,26,4,3,252
FORD,FOCUS ST,MID-SIZE,2,4,M6,X,10.5,7.8,9.3,30,5,3,219
FORD,FUSION,MID-SIZE,1.5,4,AS6,X,10,7,8.7,32,6,7,203
FORD,FUSION,MID-SIZE,2,4,AS6,X,11.2,7.6,9.6,29,5,5,225
FORD,FUSION,MID-SIZE,2.5,4,A6,X,11.3,7.4,9.5,30,5,5,223
FORD,FUSION AWD,MID-SIZE,2,4,AS6,X,11.8,8.2,10.2,28,5,5,238
FORD,FUSION AWD,MID-SIZE,2.7,6,AS6,X,13.8,9.1,11.8,24,4,5,277
FORD,FUSION HYBRID,MID-SIZE,2,4,AV,X,5.5,5.6,5.6,50,9,7,131
FORD,GT,TWO-SEATER,3.5,6,AM7,Z,20.4,13.1,17.1,17,1,3,403
FORD,MUSTANG,SUBCOMPACT,2.3,4,AS10,X,11,7.4,9.4,30,5,5,219
FORD,MUSTANG (Performance Pkg),SUBCOMPACT,2.3,4,AS10,X,11.8,8.1,10.1,28,5,5,236
FORD,MUSTANG,SUBCOMPACT,2.3,4,M6,X,11,7.7,9.5,30,5,5,222
FORD,MUSTANG (Performance Pkg),SUBCOMPACT,2.3,4,M6,X,11.8,8.4,10.3,27,5,5,240
FORD,MUSTANG,SUBCOMPACT,5,8,AS10,X,15.1,9.3,12.5,23,3,3,291
FORD,MUSTANG,SUBCOMPACT,5,8,M6,X,15.5,9.5,12.8,22,3,3,300
FORD,MUSTANG CONVERTIBLE,SUBCOMPACT,2.3,4,AS10,X,11.8,8.2,10.2,28,5,5,238
FORD,MUSTANG CONVERTIBLE,SUBCOMPACT,2.3,4,M6,X,11.8,8.4,10.3,27,5,5,240
FORD,MUSTANG CONVERTIBLE,SUBCOMPACT,5,8,AS10,X,15.5,10,13.1,22,3,3,305
FORD,SHELBY GT350 MUSTANG,SUBCOMPACT,5.2,8,M6,Z,17.2,11.3,14.6,19,2,3,341
FORD,T-150 WAGON,VAN - PASSENGER,3.5,6,AS6,X,16.2,12.8,14.7,19,2,1,345
FORD,T-150 WAGON,VAN - PASSENGER,3.7,6,AS6,X,16.8,13.1,15.1,19,2,1,354
FORD,TAURUS FFV,FULL-SIZE,3.5,6,AS6,X,13.1,8.7,11.1,25,4,3,260
FORD,TAURUS FFV,FULL-SIZE,3.5,6,AS6,E,17.6,11.7,15,19,4,3,249
FORD,TAURUS AWD,FULL-SIZE,3.5,6,AS6,X,14.6,10,12.5,23,3,3,294
FORD,TAURUS FFV AWD,FULL-SIZE,3.5,6,AS6,X,13.6,9.9,12.4,23,3,3,291
FORD,TAURUS FFV AWD,FULL-SIZE,3.5,6,AS6,E,18.7,13.4,16.3,17,4,3,271
FORD,TRANSIT CONNECT VAN FFV,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,X,11.9,8.7,10.4,27,5,3,244
FORD,TRANSIT CONNECT VAN FFV,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,E,16.2,11.9,14.3,20,5,3,234
FORD,TRANSIT CONNECT WAGON LWB FFV,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,X,12.3,8.8,10.7,26,4,3,251
FORD,TRANSIT CONNECT WAGON LWB FFV,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,E,16.8,12.1,14.7,19,5,3,241
GENESIS,G80 AWD,FULL-SIZE,3.3,6,AS8,Z,13.8,9.7,11.9,24,4,3,282
GENESIS,G80 AWD,FULL-SIZE,3.8,6,AS8,X,13.4,9.6,11.7,24,4,5,276
GENESIS,G80 AWD,FULL-SIZE,5,8,AS8,Z,15.6,10.4,13.2,21,3,5,312
GENESIS,G90 AWD,FULL-SIZE,3.3,6,AS8,Z,13.7,9.7,11.9,24,4,3,279
GENESIS,G90 AWD,FULL-SIZE,5,8,AS8,Z,15.2,10.2,13,22,3,5,306
GMC,ACADIA,SUV - STANDARD,2.5,4,A6,X,11,9.2,10.2,28,5,3,239
GMC,ACADIA,SUV - STANDARD,3.6,6,A6,X,13.1,9.4,11.4,25,4,5,268
GMC,ACADIA AWD,SUV - STANDARD,2.5,4,A6,X,11.2,9.4,10.4,27,5,3,243
GMC,ACADIA AWD,SUV - STANDARD,3.6,6,A6,X,13.5,9.5,11.7,24,4,5,275
