MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS (L),TRANSMISSION,FUEL TYPE,FUEL CONS: CITY (L/100 km),FUEL CONS: HWY (L/100 km),CO2 RATING,SMOG RATING,CO2 EMISSIONS(g/km) 
CHEVROLET,SILVERADO eASSIST,PICKUP TRUCK - STANDARD,5.3,8.0,A8,X,13.4,10.0,4.0,3.0,278.0
CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,4.3,6.0,A6,X,14.1,10.6,3.0,5.0,294.0
CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,4.3,6.0,A6,E,20.2,15.2,3.0,5.0,296.0
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8.0,A6,X,15.0,10.7,3.0,3.0,307.0
CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8.0,A6,X,15.0,10.7,3.0,3.0,307.0
CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8.0,A6,E,21.0,15.0,3.0,3.0,309.0
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8.0,A8,X,15.6,11.6,3.0,3.0,324.0
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,6.2,8.0,A8,Z,16.0,11.7,3.0,3.0,331.0
CHEVROLET,SILVERADO eASSIST 4WD,PICKUP TRUCK - STANDARD,5.3,8.0,A8,X,14.4,11.2,3.0,3.0,304.0
CHEVROLET,SONIC,COMPACT,1.4,4.0,AS6,X,8.8,6.6,7.0,3.0,184.0
CHEVROLET,SONIC,COMPACT,1.4,4.0,M6,X,8.4,6.3,7.0,3.0,174.0
CHEVROLET,SONIC,COMPACT,1.8,4.0,AS6,X,9.3,7.0,6.0,5.0,193.0
CHEVROLET,SONIC,COMPACT,1.8,4.0,M5,X,9.2,6.8,6.0,5.0,190.0
CHEVROLET,SONIC 5,STATION WAGON - SMALL,1.4,4.0,AS6,X,8.8,6.6,7.0,3.0,184.0
CHEVROLET,SONIC 5,STATION WAGON - SMALL,1.4,4.0,M6,X,8.4,6.3,7.0,3.0,174.0
CHEVROLET,SONIC 5,STATION WAGON - SMALL,1.8,4.0,AS6,X,9.3,7.0,6.0,5.0,193.0
CHEVROLET,SONIC 5,STATION WAGON - SMALL,1.8,4.0,M5,X,9.2,6.8,6.0,5.0,190.0
CHEVROLET,SPARK,SUBCOMPACT,1.4,4.0,AV,X,7.8,6.2,8.0,5.0,167.0
CHEVROLET,SPARK,SUBCOMPACT,1.4,4.0,M5,X,8.0,6.0,8.0,5.0,166.0
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8.0,A6,X,15.1,10.4,3.0,3.0,305.0
CHEVROLET,SUBURBAN FFV,SUV - STANDARD,5.3,8.0,A6,X,15.1,10.4,3.0,3.0,305.0
CHEVROLET,SUBURBAN FFV,SUV - STANDARD,5.3,8.0,A6,E,19.8,13.9,3.0,3.0,285.0
CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8.0,A6,X,15.3,10.9,3.0,3.0,313.0
CHEVROLET,SUBURBAN 4WD FFV,SUV - STANDARD,5.3,8.0,A6,X,15.3,10.9,3.0,3.0,312.0
CHEVROLET,SUBURBAN 4WD FFV,SUV - STANDARD,5.3,8.0,A6,E,22.3,15.7,3.0,3.0,321.0
CHEVROLET,TAHOE,SUV - STANDARD,5.3,8.0,A6,X,15.1,10.4,3.0,3.0,305.0
CHEVROLET,TAHOE FFV,SUV - STANDARD,5.3,8.0,A6,X,15.1,10.4,3.0,3.0,305.0
CHEVROLET,TAHOE FFV,SUV - STANDARD,5.3,8.0,A6,E,19.8,13.9,3.0,3.0,285.0
CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8.0,A6,X,15.2,10.8,3.0,3.0,310.0
CHEVROLET,TAHOE 4WD FFV,SUV - STANDARD,5.3,8.0,A6,X,15.2,10.8,3.0,3.0,310.0
CHEVROLET,TAHOE 4WD FFV,SUV - STANDARD,5.3,8.0,A6,E,20.8,14.5,3.0,3.0,299.0
CHEVROLET,TAHOE 4WD,SUV - STANDARD,6.2,8.0,A10,Z,16.4,10.7,3.0,3.0,325.0
CHEVROLET,TRAVERSE,SUV - STANDARD,2.0,4.0,A9,Z,11.7,9.0,4.0,5.0,246.0
CHEVROLET,TRAVERSE,SUV - STANDARD,3.6,6.0,AS9,X,12.9,8.7,4.0,5.0,258.0
CHEVROLET,TRAVERSE AWD,SUV - STANDARD,3.6,6.0,AS9,X,13.7,9.4,4.0,5.0,276.0
CHEVROLET,TRAX,SUV - SMALL,1.4,4.0,AS6,X,9.3,7.2,6.0,3.0,194.0
CHEVROLET,TRAX,SUV - SMALL,1.4,4.0,M6,X,9.2,7.1,6.0,3.0,194.0
CHEVROLET,TRAX 4WD,SUV - SMALL,1.4,4.0,AS6,X,9.9,7.8,5.0,3.0,210.0
CHRYSLER,300,FULL-SIZE,3.6,6.0,A8,X,12.4,7.8,5.0,3.0,242.0
CHRYSLER,300 FFV,FULL-SIZE,3.6,6.0,A8,X,12.4,7.8,5.0,3.0,242.0
CHRYSLER,300 FFV,FULL-SIZE,3.6,6.0,A8,E,17.1,10.6,5.0,3.0,234.0
CHRYSLER,300,FULL-SIZE,5.7,8.0,A8,X,14.7,9.4,3.0,3.0,289.0
CHRYSLER,300 AWD,FULL-SIZE,3.6,6.0,A8,X,12.8,8.7,4.0,3.0,258.0
CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6.0,A8,X,12.8,8.7,4.0,3.0,258.0
CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6.0,A8,E,17.6,12.0,4.0,3.0,248.0
CHRYSLER,PACIFICA,MINIVAN,3.6,6.0,A9,X,12.9,8.4,4.0,3.0,259.0
CHRYSLER,PACIFICA (Stop-Start),MINIVAN,3.6,6.0,A9,X,12.4,8.4,4.0,3.0,249.0
DODGE,CHALLENGER,MID-SIZE,3.6,6.0,A8,X,12.4,7.8,5.0,3.0,242.0
DODGE,CHALLENGER,MID-SIZE,5.7,8.0,M6,Z,15.6,10.1,3.0,1.0,307.0
DODGE,CHALLENGER,MID-SIZE,6.4,8.0,M6,Z,16.7,10.4,3.0,1.0,325.0
DODGE,CHALLENGER (MDS),MID-SIZE,5.7,8.0,A8,X,14.7,9.4,3.0,3.0,289.0
DODGE,CHALLENGER (MDS),MID-SIZE,6.4,8.0,A8,Z,15.6,9.6,3.0,1.0,302.0
DODGE,CHALLENGER GT AWD,MID-SIZE,3.6,6.0,A8,X,12.8,8.7,4.0,3.0,258.0
DODGE,CHALLENGER GT AWD FFV,MID-SIZE,3.6,6.0,A8,X,12.8,8.7,4.0,3.0,258.0
DODGE,CHALLENGER GT AWD FFV,MID-SIZE,3.6,6.0,A8,E,17.6,12.0,4.0,3.0,248.0
DODGE,CHALLENGER SRT,MID-SIZE,6.4,8.0,M6,Z,16.7,10.4,3.0,1.0,325.0
DODGE,CHALLENGER SRT (MDS),MID-SIZE,6.4,8.0,A8,Z,15.6,9.6,3.0,1.0,302.0
DODGE,CHALLENGER SRT DEMON,MID-SIZE,6.2,8.0,A8,Z,17.6,10.7,2.0,1.0,339.0
DODGE,CHALLENGER SRT HELLCAT,MID-SIZE,6.2,8.0,A8,Z,17.6,10.7,2.0,1.0,339.0
DODGE,CHALLENGER SRT HELLCAT,MID-SIZE,6.2,8.0,M6,Z,18.1,11.4,2.0,1.0,352.0
DODGE,CHARGER,FULL-SIZE,3.6,6.0,A5,X,13.7,9.0,4.0,3.0,271.0
DODGE,CHARGER FFV,FULL-SIZE,3.6,6.0,A5,X,13.7,9.0,4.0,3.0,271.0
DODGE,CHARGER FFV,FULL-SIZE,3.6,6.0,A5,E,18.9,12.7,4.0,3.0,268.0
DODGE,CHARGER,FULL-SIZE,3.6,6.0,A8,X,12.4,7.8,5.0,3.0,242.0
DODGE,CHARGER FFV,FULL-SIZE,3.6,6.0,A8,X,12.4,7.8,5.0,3.0,242.0
DODGE,CHARGER FFV,FULL-SIZE,3.6,6.0,A8,E,17.1,10.6,5.0,3.0,234.0
DODGE,CHARGER (MDS),FULL-SIZE,5.7,8.0,A5,X,15.6,9.7,3.0,3.0,302.0
DODGE,CHARGER (MDS),FULL-SIZE,5.7,8.0,A8,X,14.7,9.4,3.0,3.0,289.0
DODGE,CHARGER (MDS),FULL-SIZE,6.4,8.0,A8,Z,15.6,9.6,3.0,1.0,302.0
DODGE,CHARGER AWD,FULL-SIZE,3.6,6.0,A8,X,12.8,8.7,4.0,3.0,258.0
DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,6.0,A8,X,12.8,8.7,4.0,3.0,258.0
DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,6.0,A8,E,17.6,12.0,4.0,3.0,248.0
DODGE,CHARGER AWD (MDS),FULL-SIZE,5.7,8.0,A5,X,16.0,10.1,3.0,3.0,312.0
DODGE,CHARGER SRT (MDS),FULL-SIZE,6.4,8.0,A8,Z,15.6,9.6,3.0,1.0,302.0
DODGE,CHARGER SRT HELLCAT,FULL-SIZE,6.2,8.0,A8,Z,17.6,10.7,2.0,1.0,339.0
DODGE,DURANGO AWD,SUV - STANDARD,3.6,6.0,A8,X,12.7,9.6,4.0,5.0,265.0
DODGE,DURANGO AWD,SUV - STANDARD,5.7,8.0,A8,X,16.7,10.9,3.0,3.0,331.0
DODGE,DURANGO AWD SRT,SUV - STANDARD,6.4,8.0,A8,Z,18.3,12.2,2.0,1.0,363.0
DODGE,GRAND CARAVAN FFV,MINIVAN,3.6,6.0,A6,X,13.7,9.4,4.0,3.0,276.0
DODGE,GRAND CARAVAN FFV,MINIVAN,3.6,6.0,A6,E,19.4,13.3,4.0,3.0,274.0
DODGE,JOURNEY,SUV - SMALL,2.4,4.0,A4,X,12.7,9.2,4.0,3.0,261.0
DODGE,JOURNEY FFV,SUV - SMALL,3.6,6.0,A6,X,14.2,9.5,4.0,3.0,284.0
DODGE,JOURNEY FFV,SUV - SMALL,3.6,6.0,A6,E,19.1,13.2,4.0,3.0,274.0
DODGE,JOURNEY AWD,SUV - SMALL,3.6,6.0,A6,X,14.5,10.0,3.0,3.0,292.0
FIAT,124 SPIDER,TWO-SEATER,1.4,4.0,A6,X,9.3,6.5,6.0,3.0,187.0
FIAT,124 SPIDER,TWO-SEATER,1.4,4.0,M6,X,9.0,6.7,7.0,3.0,185.0
FIAT,500,MINICOMPACT,1.4,4.0,A6,X,9.7,7.4,6.0,3.0,202.0
FIAT,500,MINICOMPACT,1.4,4.0,M5,X,8.4,7.0,7.0,3.0,182.0
FIAT,500 ABARTH,MINICOMPACT,1.4,4.0,A6,X,9.7,7.4,6.0,3.0,202.0
FIAT,500 ABARTH,MINICOMPACT,1.4,4.0,M5,X,8.4,7.0,7.0,3.0,182.0
FIAT,500L,STATION WAGON - SMALL,1.4,4.0,A6,X,10.7,7.9,5.0,3.0,221.0
FIAT,500X,SUV - SMALL,1.4,4.0,M6,X,9.5,7.1,6.0,3.0,197.0
FIAT,500X,SUV - SMALL,2.4,4.0,A9,X,10.7,7.8,5.0,7.0,220.0
FIAT,500X AWD,SUV - SMALL,2.4,4.0,A9,X,11.0,8.0,5.0,7.0,226.0
FORD,C-MAX HYBRID,FULL-SIZE,2.0,4.0,AV,X,5.7,6.2,9.0,7.0,138.0
FORD,ECOSPORT,SUV - SMALL,1.0,3.0,AS6,X,8.6,8.1,6.0,3.0,195.0
FORD,ECOSPORT AWD,SUV - SMALL,2.0,4.0,AS6,X,10.2,8.0,5.0,5.0,217.0
FORD,EDGE,SUV - SMALL,2.0,4.0,AS6,X,11.5,8.0,5.0,5.0,233.0
FORD,EDGE (Start/Stop),SUV - SMALL,2.0,4.0,AS6,X,11.3,8.0,5.0,5.0,231.0
FORD,EDGE,SUV - SMALL,3.5,6.0,AS6,X,13.5,9.1,4.0,3.0,270.0
FORD,EDGE AWD,SUV - SMALL,2.0,4.0,AS6,X,11.9,8.7,5.0,5.0,246.0
FORD,EDGE AWD,SUV - SMALL,2.7,6.0,AS6,X,13.8,9.8,4.0,5.0,282.0
FORD,EDGE AWD,SUV - SMALL,3.5,6.0,AS6,X,14.2,10.2,3.0,3.0,291.0
FORD,ESCAPE,SUV - SMALL,1.5,4.0,AS6,X,10.2,7.8,5.0,3.0,214.0
FORD,ESCAPE FFV,SUV - SMALL,2.5,4.0,AS6,X,11.1,8.1,5.0,3.0,229.0
FORD,ESCAPE FFV,SUV - SMALL,2.5,4.0,AS6,E,15.2,10.9,5.0,3.0,219.0
FORD,ESCAPE AWD,SUV - SMALL,1.5,4.0,AS6,X,10.7,8.3,5.0,3.0,226.0
FORD,ESCAPE AWD,SUV - SMALL,2.0,4.0,AS6,X,11.5,8.8,5.0,5.0,241.0
FORD,EXPEDITION 4X4,SUV - STANDARD,3.5,6.0,AS10,X,13.8,10.7,3.0,5.0,291.0
FORD,EXPEDITION MAX 4X4,SUV - STANDARD,3.5,6.0,AS10,X,14.9,11.2,3.0,5.0,311.0
FORD,EXPLORER,SUV - STANDARD,2.3,4.0,AS6,X,12.6,8.6,4.0,3.0,254.0
FORD,EXPLORER FFV,SUV - STANDARD,3.5,6.0,AS6,X,13.9,9.8,4.0,3.0,283.0
FORD,EXPLORER FFV,SUV - STANDARD,3.5,6.0,AS6,E,18.7,13.0,4.0,3.0,269.0
FORD,EXPLORER AWD,SUV - STANDARD,2.3,4.0,AS6,X,13.1,9.2,4.0,3.0,267.0
FORD,EXPLORER AWD,SUV - STANDARD,3.5,6.0,AS6,X,14.8,10.7,3.0,3.0,305.0
FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6.0,AS6,X,14.5,10.6,3.0,3.0,299.0
FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6.0,AS6,E,19.7,14.3,3.0,3.0,288.0
FORD,F-150,PICKUP TRUCK - STANDARD,2.7,6.0,AS10,X,11.9,9.0,4.0,5.0,249.0
FORD,F-150 (LT Tire Pkg),PICKUP TRUCK - STANDARD,2.7,6.0,AS10,X,12.0,9.4,4.0,5.0,253.0
FORD,F-150 (Payload Pkg),PICKUP TRUCK - STANDARD,2.7,6.0,AS10,X,12.3,9.4,4.0,5.0,258.0
FORD,F-150,PICKUP TRUCK - STANDARD,3.0,6.0,AS10,D,10.8,8.0,4.0,1.0,256.0
FORD,F-150 (LT Tire Pkg),PICKUP TRUCK - STANDARD,3.0,6.0,AS10,D,10.8,8.4,4.0,1.0,260.0
FORD,F-150,PICKUP TRUCK - STANDARD,3.3,6.0,AS6,X,12.3,9.4,4.0,5.0,259.0
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,3.3,6.0,AS6,X,12.3,9.3,4.0,5.0,257.0
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,3.3,6.0,AS6,E,16.8,12.7,4.0,5.0,248.0
FORD,F-150 (LT Tire Pkg),PICKUP TRUCK - STANDARD,3.3,6.0,AS6,X,12.4,9.8,4.0,5.0,263.0
FORD,F-150 FFV (LT Tire Pkg),PICKUP TRUCK - STANDARD,3.3,6.0,AS6,X,12.4,9.8,4.0,5.0,263.0
FORD,F-150 FFV (LT Tire Pkg),PICKUP TRUCK - STANDARD,3.3,6.0,AS6,E,16.8,12.7,4.0,5.0,248.0
FORD,F-150,PICKUP TRUCK - STANDARD,3.5,6.0,AS10,X,13.6,10.1,4.0,5.0,282.0
FORD,F-150 (LT Tire Pkg),PICKUP TRUCK - STANDARD,3.5,6.0,AS10,X,13.6,10.7,3.0,5.0,288.0
FORD,F-150 (Payload Pkg),PICKUP TRUCK - STANDARD,3.5,6.0,AS10,X,13.7,11.2,3.0,5.0,293.0
FORD,F-150,PICKUP TRUCK - STANDARD,5.0,8.0,AS10,X,14.1,10.4,3.0,3.0,292.0
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8.0,AS10,X,13.9,10.2,3.0,3.0,286.0
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8.0,AS10,E,20.2,14.0,3.0,3.0,288.0
FORD,F-150 (LT Tire Pkg),PICKUP TRUCK - STANDARD,5.0,8.0,AS10,X,14.7,11.2,3.0,3.0,308.0
FORD,F-150 FFV (LT Tire Pkg),PICKUP TRUCK - STANDARD,5.0,8.0,AS10,X,14.7,11.2,3.0,3.0,307.0
FORD,F-150 FFV (LT Tire Pkg),PICKUP TRUCK - STANDARD,5.0,8.0,AS10,E,20.2,14.0,3.0,3.0,288.0
FORD,F-150 (Payload Pkg),PICKUP TRUCK - STANDARD,5.0,8.0,AS10,X,14.7,11.8,3.0,3.0,324.0
FORD,F-150 FFV (Payload Pkg),PICKUP TRUCK - STANDARD,5.0,8.0,AS10,X,14.7,11.8,3.0,3.0,323.0
FORD,F-150 FFV (Payload Pkg),PICKUP TRUCK - STANDARD,5.0,8.0,AS10,E,20.3,14.0,3.0,3.0,288.0
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,2.7,6.0,AS10,X,12.6,9.8,4.0,5.0,265.0
FORD,F-150 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,2.7,6.0,AS10,X,13.1,10.2,4.0,5.0,277.0
FORD,F-150 4X4 (Payload Pkg),PICKUP TRUCK - STANDARD,2.7,6.0,AS10,X,13.1,9.8,4.0,5.0,272.0
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,3.0,6.0,AS10,D,11.8,9.3,3.0,1.0,288.0
FORD,F-150 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,3.0,6.0,AS10,D,11.8,9.3,3.0,1.0,288.0
FORD,F-150 4X4 XL/XLT,PICKUP TRUCK - STANDARD,3.0,6.0,AS10,D,11.2,8.4,4.0,1.0,266.0
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,3.3,6.0,AS6,X,13.0,10.3,4.0,5.0,277.0
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.3,6.0,AS6,X,12.9,10.2,4.0,5.0,273.0
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.3,6.0,AS6,E,17.6,13.7,4.0,5.0,263.0
FORD,F-150 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,3.3,6.0,AS6,X,13.8,10.7,3.0,5.0,291.0
FORD,F-150 FFV 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,3.3,6.0,AS6,X,13.8,10.7,3.0,5.0,291.0
FORD,F-150 FFV 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,3.3,6.0,AS6,E,17.5,13.7,4.0,5.0,262.0
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,3.5,6.0,AS10,X,14.3,10.5,3.0,5.0,295.0
FORD,F-150 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,3.5,6.0,AS10,X,14.4,10.6,3.0,5.0,297.0
FORD,F-150 4X4 (Payload Pkg),PICKUP TRUCK - STANDARD,3.5,6.0,AS10,X,14.5,11.2,3.0,5.0,305.0
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,5.0,8.0,AS10,X,14.6,10.9,3.0,3.0,304.0
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8.0,AS10,X,15.1,11.0,3.0,3.0,311.0
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8.0,AS10,E,20.0,15.6,3.0,3.0,300.0
FORD,F-150 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,5.0,8.0,AS10,X,14.7,11.8,3.0,3.0,324.0
FORD,F-150 FFV 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,5.0,8.0,AS10,X,15.1,11.8,3.0,3.0,324.0
FORD,F-150 FFV 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,5.0,8.0,AS10,E,20.0,15.6,3.0,3.0,300.0
FORD,F-150 4X4 (Payload Pkg),PICKUP TRUCK - STANDARD,5.0,8.0,AS10,X,15.7,12.4,3.0,3.0,334.0
FORD,F-150 FFV 4X4 (Payload Pkg),PICKUP TRUCK - STANDARD,5.0,8.0,AS10,X,16.1,12.4,2.0,3.0,339.0
FORD,F-150 FFV 4X4 (Payload Pkg),PICKUP TRUCK - STANDARD,5.0,8.0,AS10,E,21.4,17.2,3.0,3.0,325.0
FORD,F-150 RAPTOR 4WD,PICKUP TRUCK - STANDARD,3.5,6.0,AS10,X,15.6,13.2,2.0,3.0,339.0
FORD,FIESTA,SUBCOMPACT,1.6,4.0,AM6,X,8.6,6.4,7.0,3.0,179.0
FORD,FIESTA,SUBCOMPACT,1.6,4.0,M5,X,8.6,6.7,7.0,3.0,182.0
FORD,FIESTA ST,SUBCOMPACT,1.6,4.0,M6,X,9.0,7.1,6.0,3.0,192.0
FORD,FLEX,SUV - STANDARD,3.5,6.0,AS6,X,14.7,10.2,3.0,3.0,298.0
FORD,FLEX AWD,SUV - STANDARD,3.5,6.0,AS6,X,14.7,10.7,3.0,3.0,303.0
FORD,FLEX AWD GTDI,SUV - STANDARD,3.5,6.0,AS6,X,15.7,11.2,3.0,3.0,322.0
FORD,FOCUS,COMPACT,1.0,3.0,AS6,X,8.5,6.2,7.0,3.0,176.0
FORD,FOCUS,COMPACT,1.0,3.0,M6,X,7.9,5.9,8.0,3.0,164.0
FORD,FOCUS,COMPACT,2.0,4.0,AM6,X,8.9,6.1,7.0,7.0,179.0
FORD,FOCUS,COMPACT,2.0,4.0,AS6,X,9.8,7.0,6.0,7.0,200.0
FORD,FOCUS,COMPACT,2.0,4.0,M5,X,9.5,6.9,6.0,7.0,196.0
FORD,FOCUS RS AWD,MID-SIZE,2.3,4.0,M6,Z,12.2,9.0,4.0,3.0,252.0
FORD,FOCUS ST,MID-SIZE,2.0,4.0,M6,X,10.5,7.8,5.0,3.0,219.0
FORD,FUSION,MID-SIZE,1.5,4.0,AS6,X,10.0,7.0,6.0,7.0,203.0
FORD,FUSION,MID-SIZE,2.0,4.0,AS6,X,11.2,7.6,5.0,5.0,225.0
FORD,FUSION,MID-SIZE,2.5,4.0,A6,X,11.3,7.4,5.0,5.0,223.0
FORD,FUSION AWD,MID-SIZE,2.0,4.0,AS6,X,11.8,8.2,5.0,5.0,238.0
FORD,FUSION AWD,MID-SIZE,2.7,6.0,AS6,X,13.8,9.1,4.0,5.0,277.0
FORD,FUSION HYBRID,MID-SIZE,2.0,4.0,AV,X,5.5,5.6,9.0,7.0,131.0
FORD,GT,TWO-SEATER,3.5,6.0,AM7,Z,20.4,13.1,1.0,3.0,403.0
FORD,MUSTANG,SUBCOMPACT,2.3,4.0,AS10,X,11.0,7.4,5.0,5.0,219.0
FORD,MUSTANG (Performance Pkg),SUBCOMPACT,2.3,4.0,AS10,X,11.8,8.1,5.0,5.0,236.0
FORD,MUSTANG,SUBCOMPACT,2.3,4.0,M6,X,11.0,7.7,5.0,5.0,222.0
FORD,MUSTANG (Performance Pkg),SUBCOMPACT,2.3,4.0,M6,X,11.8,8.4,5.0,5.0,240.0
FORD,MUSTANG,SUBCOMPACT,5.0,8.0,AS10,X,15.1,9.3,3.0,3.0,291.0
FORD,MUSTANG,SUBCOMPACT,5.0,8.0,M6,X,15.5,9.5,3.0,3.0,300.0
FORD,MUSTANG CONVERTIBLE,SUBCOMPACT,2.3,4.0,AS10,X,11.8,8.2,5.0,5.0,238.0
FORD,MUSTANG CONVERTIBLE,SUBCOMPACT,2.3,4.0,M6,X,11.8,8.4,5.0,5.0,240.0
FORD,MUSTANG CONVERTIBLE,SUBCOMPACT,5.0,8.0,AS10,X,15.5,10.0,3.0,3.0,305.0
FORD,SHELBY GT350 MUSTANG,SUBCOMPACT,5.2,8.0,M6,Z,17.2,11.3,2.0,3.0,341.0
FORD,T-150 WAGON,VAN - PASSENGER,3.5,6.0,AS6,X,16.2,12.8,2.0,1.0,345.0
FORD,T-150 WAGON,VAN - PASSENGER,3.7,6.0,AS6,X,16.8,13.1,2.0,1.0,354.0
FORD,TAURUS FFV,FULL-SIZE,3.5,6.0,AS6,X,13.1,8.7,4.0,3.0,260.0
FORD,TAURUS FFV,FULL-SIZE,3.5,6.0,AS6,E,17.6,11.7,4.0,3.0,249.0
FORD,TAURUS AWD,FULL-SIZE,3.5,6.0,AS6,X,14.6,10.0,3.0,3.0,294.0
FORD,TAURUS FFV AWD,FULL-SIZE,3.5,6.0,AS6,X,13.6,9.9,3.0,3.0,291.0
FORD,TAURUS FFV AWD,FULL-SIZE,3.5,6.0,AS6,E,18.7,13.4,4.0,3.0,271.0
FORD,TRANSIT CONNECT VAN FFV,SPECIAL PURPOSE VEHICLE,2.5,4.0,AS6,X,11.9,8.7,5.0,3.0,244.0
FORD,TRANSIT CONNECT VAN FFV,SPECIAL PURPOSE VEHICLE,2.5,4.0,AS6,E,16.2,11.9,5.0,3.0,234.0
FORD,TRANSIT CONNECT WAGON LWB FFV,SPECIAL PURPOSE VEHICLE,2.5,4.0,AS6,X,12.3,8.8,4.0,3.0,251.0
FORD,TRANSIT CONNECT WAGON LWB FFV,SPECIAL PURPOSE VEHICLE,2.5,4.0,AS6,E,16.8,12.1,5.0,3.0,241.0
GENESIS,G80 AWD,FULL-SIZE,3.3,6.0,AS8,Z,13.8,9.7,4.0,3.0,282.0
GENESIS,G80 AWD,FULL-SIZE,3.8,6.0,AS8,X,13.4,9.6,4.0,5.0,276.0
GENESIS,G80 AWD,FULL-SIZE,5.0,8.0,AS8,Z,15.6,10.4,3.0,5.0,312.0
GENESIS,G90 AWD,FULL-SIZE,3.3,6.0,AS8,Z,13.7,9.7,4.0,3.0,279.0
